Lead_ID,Business_Name,Industry,City,Email,Phone,Employees,Monthly_Revenue,Last_Contact,Website_Status,Days_Since_Contact,Revenue_Score,Employee_Score,Website_Score,Follow_Up_Score,Lead_Score,Priority,Follow_Up_Recommendation,Lead_Reason,Follow_Up_Message
L015,Global Logistics,Logistics,Lahore,sales@globallogistics.com,03389876543,75,4200000,2026-08-15,Active,34,40.0,20.0,5,20,85.0,High,Contact today,"High revenue, Large company, Long time since contact","Hi, I wanted to follow up with Global Logistics regarding our previous conversation. I'd be happy to discuss how digital solutions could help your Logistics business. Would you be available for a quick call?"
L004,TechVision Solutions,Software,Lahore,sales@techvision.com,03211234567,60,3500000,2026-08-28,Active,21,33.333333333333336,16.0,5,15,69.33,High,Contact today,"High revenue, Large company, Long time since contact","Hi, I wanted to follow up with TechVision Solutions regarding our previous conversation. I'd be happy to discuss how digital solutions could help your Software business. Would you be available for a quick call?"
L012,BuildPro Contractors,Construction,Lahore,contact@buildpro.com,03059876543,50,2800000,2026-08-18,Active,31,26.666666666666664,13.333333333333332,5,20,65.0,High,Contact today,"High revenue, Large company, Long time since contact","Hi, I wanted to follow up with BuildPro Contractors regarding our previous conversation. I'd be happy to discuss how digital solutions could help your Construction business. Would you be available for a quick call?"
L007,Smart Auto Parts,Automotive,Lahore,sales@smartauto.com,03009876543,40,1800000,2026-08-20,Active,29,17.142857142857142,10.666666666666666,5,15,47.81,Medium,Schedule follow-up,"Large company, Long time since contact","Hi, I wanted to follow up with Smart Auto Parts regarding our previous conversation. I'd be happy to discuss how digital solutions could help your Automotive business. Would you be available for a quick call?"
L011,Health Plus Clinic,Healthcare,Islamabad,info@healthplus.com,03449876543,30,1500000,2026-08-25,Active,24,14.285714285714286,8.0,5,15,42.29,Medium,Schedule follow-up,Long time since contact,"Hi, I wanted to follow up with Health Plus Clinic regarding our previous conversation. I'd be happy to discuss how digital solutions could help your Healthcare business. Would you be available for a quick call?"
L002,Prime Estate Group,Real Estate,Lahore,info@primeestate.com,03012345678,35,2200000,2026-09-05,Active,13,20.952380952380953,9.333333333333334,5,5,40.29,Medium,Schedule follow-up,High revenue,"Hi, I wanted to check in with Prime Estate Group. I'd be happy to discuss potential digital solutions for your Real Estate business. Would you be open to a quick conversation?"
L013,Digital Edge,Software,Gujranwala,hello@digitaledge.com,03169876543,28,1700000,2026-09-06,Active,12,16.19047619047619,7.466666666666667,5,5,33.66,Low,Monitor and follow up later,Limited buying signals,"Hi, I wanted to check in with Digital Edge. I'd be happy to discuss potential digital solutions for your Software business. Would you be open to a quick conversation?"
L006,Modern Furniture,Furniture,Islamabad,info@modernfurniture.com,03451234567,25,1200000,2026-09-01,Active,17,11.428571428571427,6.666666666666666,5,10,33.1,Low,Monitor and follow up later,Limited buying signals,"Hi, I wanted to check in with Modern Furniture. I'd be happy to discuss potential digital solutions for your Furniture business. Would you be open to a quick conversation?"
L010,Fresh Mart,Retail,Lahore,freshmart@gmail.com,03339876543,10,550000,2026-09-14,Inactive,4,5.238095238095238,2.6666666666666665,20,5,32.9,Low,Monitor and follow up later,Inactive website,"Hi, I wanted to follow up with Fresh Mart. I noticed there may be an opportunity to improve the business's online presence. For a Retail business in Lahore, a stronger digital presence could help attract and convert more customers. Would you be open to a quick conversation?"
L014,Style House,Fashion,Islamabad,stylehouse@gmail.com,03279876543,6,250000,2026-09-11,Inactive,7,2.380952380952381,1.6,20,5,28.98,Low,Monitor and follow up later,Inactive website,"Hi, I wanted to follow up with Style House. I noticed there may be an opportunity to improve the business's online presence. For a Fashion business in Islamabad, a stronger digital presence could help attract and convert more customers. Would you be open to a quick conversation?"
L009,Elite Marketing Agency,Marketing,Islamabad,hello@eliteagency.com,03229876543,15,900000,2026-09-03,Active,15,8.571428571428571,4.0,5,10,27.57,Low,Monitor and follow up later,Limited buying signals,"Hi, I wanted to check in with Elite Marketing Agency. I'd be happy to discuss potential digital solutions for your Marketing business. Would you be open to a quick conversation?"
L001,Alpha Dental Clinic,Dental,Islamabad,contact@alphadental.com,03001234567,18,850000,2026-09-10,Active,8,8.095238095238095,4.8,5,5,22.9,Low,Monitor and follow up later,Limited buying signals,"Hi, I wanted to check in with Alpha Dental Clinic. I'd be happy to discuss potential digital solutions for your Dental business. Would you be open to a quick conversation?"
L008,Blue Sky Academy,Education,Gujranwala,admin@bluesky.edu,03119876543,22,650000,2026-09-08,Active,10,6.190476190476191,5.866666666666667,5,5,22.06,Low,Monitor and follow up later,Limited buying signals,"Hi, I wanted to check in with Blue Sky Academy. I'd be happy to discuss potential digital solutions for your Education business. Would you be open to a quick conversation?"
L003,Green Leaf Restaurant,Restaurant,Gujranwala,hello@greenleaf.com,03123456789,12,450000,2026-09-15,Active,3,4.285714285714286,3.2,5,5,17.49,Low,Monitor and follow up later,Limited buying signals,"Hi, I wanted to check in with Green Leaf Restaurant. I'd be happy to discuss potential digital solutions for your Restaurant business. Would you be open to a quick conversation?"
L005,City Care Pharmacy,Healthcare,Gujranwala,citycare@gmail.com,03331234567,8,300000,2026-09-12,Active,6,2.8571428571428568,2.1333333333333333,5,5,14.99,Low,Monitor and follow up later,Limited buying signals,"Hi, I wanted to check in with City Care Pharmacy. I'd be happy to discuss potential digital solutions for your Healthcare business. Would you be open to a quick conversation?"
